date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
21:30:07	157960/157960	---M-Z	200	added ('OK')	text/html	date:Mon,%2026%20Sep%202022%2005:44:48%20GMT	https://expresscourierlimited.com/our-solutions/customs-brokerage-trade-compliance/global-customs-and-compliance/index.html	C:/Users/Fisher/Desktop/gte/cr/expresscourierlimited.com/our-solutions/customs-brokerage-trade-compliance/global-customs-and-compliance/index.html	(from https://expresscourierlimited.com/)
21:30:07	96785/96785	---M-Z	200	added ('OK')	text/html	date:Sun,%2025%20Sep%202022%2020:10:34%20GMT	https://expresscourierlimited.com/our-solutions/technology/index.html	C:/Users/Fisher/Desktop/gte/cr/expresscourierlimited.com/our-solutions/technology/index.html	(from https://expresscourierlimited.com/)
21:30:07	103593/103593	---M-Z	200	added ('OK')	text/html	date:Sun,%2025%20Sep%202022%2020:10:36%20GMT	https://expresscourierlimited.com/industry-expertise/semiconductor-logistics/index.html	C:/Users/Fisher/Desktop/gte/cr/expresscourierlimited.com/industry-expertise/semiconductor-logistics/index.html	(from https://expresscourierlimited.com/)
21:30:08	104719/104719	---M-Z	200	added ('OK')	text/html	date:Sun,%2025%20Sep%202022%2020:10:36%20GMT	https://expresscourierlimited.com/industry-expertise/high-tech-logistics/index.html	C:/Users/Fisher/Desktop/gte/cr/expresscourierlimited.com/industry-expertise/high-tech-logistics/index.html	(from https://expresscourierlimited.com/)
21:30:08	103948/103948	---M-Z	200	added ('OK')	text/html	date:Sun,%2025%20Sep%202022%2020:10:36%20GMT	https://expresscourierlimited.com/industry-expertise/medical-device-logistics/index.html	C:/Users/Fisher/Desktop/gte/cr/expresscourierlimited.com/industry-expertise/medical-device-logistics/index.html	(from https://expresscourierlimited.com/)
21:30:08	100592/100592	---M-Z	200	added ('OK')	text/html	date:Sun,%2025%20Sep%202022%2020:10:36%20GMT	https://expresscourierlimited.com/industry-expertise/life-science-logistics/index.html	C:/Users/Fisher/Desktop/gte/cr/expresscourierlimited.com/industry-expertise/life-science-logistics/index.html	(from https://expresscourierlimited.com/)
21:30:08	103105/103105	---M-Z	200	added ('OK')	text/html	date:Sun,%2025%20Sep%202022%2020:10:36%20GMT	https://expresscourierlimited.com/industry-expertise/e-commerce-logistics/index.html	C:/Users/Fisher/Desktop/gte/cr/expresscourierlimited.com/industry-expertise/e-commerce-logistics/index.html	(from https://expresscourierlimited.com/)
21:30:09	104977/104977	---M-Z	200	added ('OK')	text/html	date:Sun,%2025%20Sep%202022%2020:10:36%20GMT	https://expresscourierlimited.com/industry-expertise/retail-logistics/index.html	C:/Users/Fisher/Desktop/gte/cr/expresscourierlimited.com/industry-expertise/retail-logistics/index.html	(from https://expresscourierlimited.com/)
21:30:09	101115/101115	---M-Z	200	added ('OK')	text/html	date:Mon,%2026%20Sep%202022%2005:44:48%20GMT	https://expresscourierlimited.com/industry-expertise/aviation-and-aerospace-logistics/index.html	C:/Users/Fisher/Desktop/gte/cr/expresscourierlimited.com/industry-expertise/aviation-and-aerospace-logistics/index.html	(from https://expresscourierlimited.com/)
21:30:10	127502/127502	---M-Z	200	added ('OK')	text/html	date:Sun,%2025%20Sep%202022%2020:10:36%20GMT	https://expresscourierlimited.com/industry-expertise/automotive-supply-chain/index.html	C:/Users/Fisher/Desktop/gte/cr/expresscourierlimited.com/industry-expertise/automotive-supply-chain/index.html	(from https://expresscourierlimited.com/)
21:30:10	99423/99423	---M-Z	200	added ('OK')	text/html	date:Mon,%2026%20Sep%202022%2005:44:48%20GMT	https://expresscourierlimited.com/locations/index.html	C:/Users/Fisher/Desktop/gte/cr/expresscourierlimited.com/locations/index.html	(from https://expresscourierlimited.com/)
21:30:11	106544/106544	---M-Z	200	added ('OK')	text/html	date:Mon,%2026%20Sep%202022%2005:44:48%20GMT	https://expresscourierlimited.com/about-us/leadership/index.html	C:/Users/Fisher/Desktop/gte/cr/expresscourierlimited.com/about-us/leadership/index.html	(from https://expresscourierlimited.com/)
21:30:11	101574/101574	---M-Z	200	added ('OK')	text/html	date:Mon,%2026%20Sep%202022%2005:56:32%20GMT	https://expresscourierlimited.com/about-us/company-introduction-culture/index.html	C:/Users/Fisher/Desktop/gte/cr/expresscourierlimited.com/about-us/company-introduction-culture/index.html	(from https://expresscourierlimited.com/)
